title,author,file
The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_little_book_of_common_sense_investing_the_only_way_to_guarantee_your_fair_share_of_stock_market_returns/the_little_book_of_common_sense_investing_the_only_way_to_guarantee_your_fair_share_of_stock_market_returns.mp3
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_innovators_dilemma_the_revolutionary_book_that_will_change_the_way_you_do_business/the_innovators_dilemma_the_revolutionary_book_that_will_change_the_way_you_do_business.mp3
Chaos: Making a New Science,James Gleick,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/chaos_making_a_new_science/chaos_making_a_new_science.mp3
The Millionaire Mind,Thomas J. Stanley,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_millionaire_mind/the_millionaire_mind.mp3
The 48 Laws of Power,Robert Greene,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_48_laws_of_power/the_48_laws_of_power.mp3
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/big_magic_creative_living_beyond_fear/big_magic_creative_living_beyond_fear.mp3
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/why_we_sleep_unlocking_the_power_of_sleep_and_dreams/why_we_sleep_unlocking_the_power_of_sleep_and_dreams.mp3
Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/behave_the_biology_of_humans_at_our_best_and_worst/behave_the_biology_of_humans_at_our_best_and_worst.mp3
The Quiet Rise of Introverts: The 8 Practices for Loving and Living in a Noisy World,Brenda Knowles,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_quiet_rise_of_introverts_the_8_practices_for_loving_and_living_in_a_noisy_world/the_quiet_rise_of_introverts_the_8_practices_for_loving_and_living_in_a_noisy_world.mp3
"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World",Don Tapscott,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/blockchain_revolution_how_the_technology_behind_bitcoin_is_changing_money_business_and_the_world/blockchain_revolution_how_the_technology_behind_bitcoin_is_changing_money_business_and_the_world.mp3
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_obstacle_is_the_way_the_timeless_art_of_turning_trials_into_triumph/the_obstacle_is_the_way_the_timeless_art_of_turning_trials_into_triumph.mp3
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/smarter_faster_better_the_secrets_of_being_productive_in_life_and_business/smarter_faster_better_the_secrets_of_being_productive_in_life_and_business.mp3
World Without Mind: The Existential Threat of Big Tech,Franklin Foer,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/world_without_mind_the_existential_threat_of_big_tech/world_without_mind_the_existential_threat_of_big_tech.mp3
A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/a_whole_new_mind_why_rightbrainers_will_rule_the_future/a_whole_new_mind_why_rightbrainers_will_rule_the_future.mp3
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/start_with_why_how_great_leaders_inspire_everyone_to_take_action/start_with_why_how_great_leaders_inspire_everyone_to_take_action.mp3
A Slip of the Keyboard,Terry Pratchett,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/a_slip_of_the_keyboard/a_slip_of_the_keyboard.mp3
Payoff: The Hidden Logic That Shapes Our Motivations,Dan Ariely,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/payoff_the_hidden_logic_that_shapes_our_motivations/payoff_the_hidden_logic_that_shapes_our_motivations.mp3
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_gifts_of_imperfection_let_go_of_who_you_think_youre_supposed_to_be_and_embrace_who_you_are/the_gifts_of_imperfection_let_go_of_who_you_think_youre_supposed_to_be_and_embrace_who_you_are.mp3
The Checklist Manifesto: How to Get Things Right,Atul Gawande,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_checklist_manifesto_how_to_get_things_right/the_checklist_manifesto_how_to_get_things_right.mp3
All You Want To Know About Giants Of Philosophy: All You Want To Know Series,Knowledge Products,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/all_you_want_to_know_about_giants_of_philosophy_all_you_want_to_know_series/all_you_want_to_know_about_giants_of_philosophy_all_you_want_to_know_series.mp3
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_black_swan_the_impact_of_the_highly_improbable/the_black_swan_the_impact_of_the_highly_improbable.mp3
"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_four_the_hidden_dna_of_amazon_apple_facebook_and_google/the_four_the_hidden_dna_of_amazon_apple_facebook_and_google.mp3
"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_productivity_project_accomplishing_more_by_managing_your_time_attention_and_energy/the_productivity_project_accomplishing_more_by_managing_your_time_attention_and_energy.mp3
Outliers: The Story of Success,Malcolm Gladwell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/outliers_the_story_of_success/outliers_the_story_of_success.mp3
Switch: How to Change Things When Change Is Hard,Chip Heath,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/switch_how_to_change_things_when_change_is_hard/switch_how_to_change_things_when_change_is_hard.mp3
Meditation for Fidgety Skeptics: A 10% Happier How-to Book,Dan   Harris,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/meditation_for_fidgety_skeptics_a_10_happier_howto_book/meditation_for_fidgety_skeptics_a_10_happier_howto_book.mp3
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/life_3.0_being_human_in_the_age_of_artificial_intelligence/life_3.0_being_human_in_the_age_of_artificial_intelligence.mp3
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/work_rules_insights_from_inside_google_that_will_transform_how_you_live_and_lead/work_rules_insights_from_inside_google_that_will_transform_how_you_live_and_lead.mp3
