uuid_1,uuid_2,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:136ba9c9-3fa2-4773-91ab-9ca81d1051de,aud:982a9a5a-8823-47b9-9c88-850863d6ded6,1.0000000000000002,0.0,1.0,1.0,1.0,0.0,0.0,0.0
bot:13d83879-bea3-4505-9080-6fac4f646bea,aud:40d24fb3-ee87-46f2-b62a-5d540f0ceae1,0.006340739810947308,0.0,0.0,0.0,0.12488263085345194,0.0,0.0,0.0
bot:1453c25e-c841-46ff-b83c-8f91d700d1e4,aud:f4353d19-3617-443c-a1bc-7240981aecca,0.08025540598898573,0.0,0.0,0.0,0.1351087522595544,0.0,0.0,0.0
bot:14d023fa-fa8e-491a-997a-d9c12eaa236e,aud:ad229fca-662c-451d-a019-410bd9b0f260,0.44952293518163555,0.04277451845700992,0.0,0.0,0.0,0.0,0.0,0.0
bot:14e6aa1f-9e1d-4a9c-a16d-be75e54781cf,aud:7b54a2ff-3b51-4a7a-ab1c-cc6d29db1a12,1.0000000000000002,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0
bot:14e6aa1f-9e1d-4a9c-a16d-be75e54781cf,aud:ae6b776a-58d8-4520-a3cd-40d8bb9183a4,0.02557010199392924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:15672e49-ecde-41ad-bbff-a370c984425b,aud:e2b875bf-bb9a-4e3e-9d82-9fd6194d10c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:15b6b2b3-a24d-40e5-8d5c-f4a8c6d6f592,aud:7a0e97ca-4b62-4d88-bf2d-4df82afd86e1,0.027074327148483596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:17ce8ed7-c0e9-4486-9ea7-a0c4788f0609,aud:31dd84b4-ea60-45de-964f-068cd27c7c36,0.0,0.0,1.0000000000000002,0.0,1.0,0.0,0.0,0.0
bot:17e31113-1634-410b-b100-ce1e63603c33,aud:79e1ebdd-2a31-4b16-8f89-fa86af80425e,0.0,0.022994340952533353,0.0,0.0,0.0,0.0,0.0,0.0
bot:17e31113-1634-410b-b100-ce1e63603c33,aud:de5d58a9-7bda-4b4c-beba-295076afb0a3,0.0,0.0,1.0,0.0,1.0000000000000002,0.0,0.0,0.0
bot:17e31113-1634-410b-b100-ce1e63603c33,aud:f97d5b71-28e8-4699-8019-43c50d2a7b68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:17eb489f-1a55-4f10-bfc2-f16dbbe0e405,aud:ea490d41-031e-4805-9cae-2d6406620f8c,0.0,0.0,0.0,0.0,0.2160896727464804,0.0,0.0,0.0
bot:186ad70e-6eee-4a87-9a65-b57f00bcb0e4,aud:7325dc5b-d813-4df4-832d-8c176cb2a778,0.01644608081913715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:190cab2d-b11d-434a-946e-954f33a5aaf7,aud:295dde06-1937-4dfd-9a5a-4e6cf285e613,0.027773288851388796,0.0,0.0,0.0,0.783562841608779,0.0,0.0,0.0
bot:190cab2d-b11d-434a-946e-954f33a5aaf7,aud:3b96c30b-d9b6-4330-a0e2-7e0bd5feffb1,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
bot:190cab2d-b11d-434a-946e-954f33a5aaf7,aud:e82e5be9-de17-402d-948d-1d3dcfd03577,0.0,0.0,0.0,0.0,0.783562841608779,0.0,0.0,0.0
bot:194d4f8d-9402-41a6-a6cb-83ab74bf8669,aud:4068cbd6-92ed-470c-832a-6adc9fe3f8ea,0.012349238448076044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1a4be49e-259e-43c9-8d55-e51f022410f6,aud:88ebadc8-5c4f-4cbe-8a8b-bf4568235334,0.0735067342836659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1ad80162-eea5-474a-85ee-323f64150d74,aud:ed479a9c-1c72-42a9-8305-cfe7b46ab3f5,0.1139311138006826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1b54a4c8-c9d2-49d5-b79c-9d837e909b68,aud:0fd5f733-3f84-495a-8851-fb8fe202a262,0.016153447532581192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1b5feddd-2d29-4277-8441-1f1afd968268,aud:9d851499-866c-4371-b9ee-0d9bc8d9aba2,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
bot:1be99c8f-b541-4c32-93e5-0197dd7654b1,aud:1b2bfd87-ead1-44e2-b991-51a782e2f908,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0
bot:1be99c8f-b541-4c32-93e5-0197dd7654b1,aud:523faf60-6a2e-4be5-81d2-ecedc1aeb926,0.0,0.0,0.33099479252770325,0.0,1.0000000000000002,0.0,0.0,0.0
